ProductID,Weight,FatContent,ProductVisibility,ProductType,MRP,OutletID,EstablishmentYear,OutletSize,LocationType,Outlet,OutletType,OutletSales
DRD01,12.1,Regular,0.061,Soft Drinks,57,OUT018,2009,Medium,Tier 3,Supermarket,Type2,1050
DRD01,12.1,Regular,0.061,Soft Drinks,53,OUT049,1999,Medium,Tier 1,Supermarket,Type1,387
DRD01,12.1,Regular,0.061,Soft Drinks,56,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,553
DRD12,6.96,Low Fat,0.077,Soft Drinks,90,OUT046,1997,Small,Tier 1,Supermarket,Type1,1277
DRD12,6.96,Low Fat,0.077,Soft Drinks,93,OUT013,1987,High,Tier 3,Supermarket,Type1,1733
DRD12,6.96,Low Fat,0.077,Soft Drinks,93,OUT035,2004,Small,Tier 2,Supermarket,Type1,2189
DRD12,6.96,Low Fat,0.000,Soft Drinks,89,OUT027,1985,Medium,Tier 3,Supermarket,Type3,2645
DRD12,6.96,Low Fat,0.078,Soft Drinks,91,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,1459
DRD12,6.96,Low Fat,0.077,Soft Drinks,91,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,639
DRD12,6.96,Low Fat,0.078,Soft Drinks,92,OUT018,2009,Medium,Tier 3,Supermarket,Type2,1095
DRD13,15,Low Fat,0.049,Soft Drinks,63,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,959
DRD13,15,Low Fat,0.049,Soft Drinks,65,OUT013,1987,High,Tier 3,Supermarket,Type1,1662
DRD13,15,Low Fat,0.049,Soft Drinks,66,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,639
DRD13,15,Low Fat,0.049,Soft Drinks,62,OUT035,2004,Small,Tier 2,Supermarket,Type1,767
DRD13,15,Low Fat,0.049,Soft Drinks,65,OUT027,1985,Medium,Tier 3,Supermarket,Type3,3068
DRD13,15,Low Fat,0.049,Soft Drinks,65,OUT049,1999,Medium,Tier 1,Supermarket,Type1,959
DRD13,15,Low Fat,0.049,Soft Drinks,66,OUT018,2009,Medium,Tier 3,Supermarket,Type2,575
DRD15,10.6,Low Fat,0.057,Dairy,234,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,3718
DRD15,10.6,Low Fat,0.099,Dairy,233,OUT019,1985,Small,Tier 1,Grocery Store,Type4,697
DRD15,10.6,Low Fat,0.057,Dairy,232,OUT035,2004,Small,Tier 2,Supermarket,Type1,2091
DRD15,10.6,Low Fat,0.057,Dairy,233,OUT046,1997,Small,Tier 1,Supermarket,Type1,3485
DRD15,10.6,Low Fat,0.057,Dairy,234,OUT013,1987,High,Tier 3,Supermarket,Type1,3950
DRD15,10.6,Low Fat,0.057,Dairy,232,OUT049,1999,Medium,Tier 1,Supermarket,Type1,3021
DRD15,10.6,Low Fat,0.095,Dairy,232,OUT010,1998,Not Defined,Tier 3,Grocery Store,Type4,697
DRD24,13.85,Low Fat,0.031,Soft Drinks,141,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,1702
DRD24,13.85,Low Fat,0.031,Soft Drinks,143,OUT046,1997,Small,Tier 1,Supermarket,Type1,1985
DRD24,13.85,Low Fat,0.031,Soft Drinks,142,OUT013,1987,High,Tier 3,Supermarket,Type1,2978
DRD24,13.85,Low Fat,0.031,Soft Drinks,142,OUT027,1985,Medium,Tier 3,Supermarket,Type3,2694
DRD24,13.85,Low Fat,0.031,Soft Drinks,141,OUT018,2009,Medium,Tier 3,Supermarket,Type2,1702
DRD24,13.85,Low Fat,0.052,Soft Drinks,143,OUT010,1998,Not Defined,Tier 3,Grocery Store,Type4,142
DRD24,13.85,Low Fat,0.031,Soft Drinks,143,OUT049,1999,Medium,Tier 1,Supermarket,Type1,2553
DRD25,6.135,Low Fat,0.079,Soft Drinks,113,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,2943
DRD25,6.135,Low Fat,0.138,Soft Drinks,112,OUT019,1985,Small,Tier 1,Grocery Store,Type4,453
DRD25,6.135,Low Fat,0.079,Soft Drinks,112,OUT035,2004,Small,Tier 2,Supermarket,Type1,1698
DRD25,6.135,Low Fat,0.079,Soft Drinks,113,OUT027,1985,Medium,Tier 3,Supermarket,Type3,2716
DRD25,6.135,Low Fat,0.079,Soft Drinks,114,OUT049,1999,Medium,Tier 1,Supermarket,Type1,1019
DRD25,6.135,Low Fat,0.132,Soft Drinks,115,OUT010,1998,Not Defined,Tier 3,Grocery Store,Type4,453
DRD25,6.135,Low Fat,0.079,Soft Drinks,111,OUT018,2009,Medium,Tier 3,Supermarket,Type2,2264
DRD25,6.135,Low Fat,0.000,Soft Drinks,114,OUT046,1997,Small,Tier 1,Supermarket,Type1,2377
DRD27,18.75,Low Fat,0.024,Dairy,99,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,694
DRD27,18.75,Low Fat,0.024,Dairy,97,OUT049,1999,Medium,Tier 1,Supermarket,Type1,2282
DRD27,18.75,Low Fat,0.000,Dairy,98,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,1686
DRD27,18.75,Low Fat,0.024,Dairy,98,OUT013,1987,High,Tier 3,Supermarket,Type1,1488
DRD27,18.75,Low Fat,0.042,Dairy,98,OUT019,1985,Small,Tier 1,Grocery Store,Type4,198
DRD37,9.8,Low Fat,0.014,Soft Drinks,47,OUT018,2009,Medium,Tier 3,Supermarket,Type2,373
DRD37,9.8,Low Fat,0.014,Soft Drinks,45,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,792
DRD37,9.8,Low Fat,0.014,Soft Drinks,45,OUT013,1987,High,Tier 3,Supermarket,Type1,1305
DRD37,9.8,Low Fat,0.014,Soft Drinks,47,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,979
DRD37,9.8,Low Fat,0.023,Soft Drinks,48,OUT010,1998,Not Defined,Tier 3,Grocery Store,Type4,186
DRD37,9.8,Low Fat,0.014,Soft Drinks,45,OUT049,1999,Medium,Tier 1,Supermarket,Type1,1398
DRD37,9.8,Low Fat,0.014,Soft Drinks,45,OUT046,1997,Small,Tier 1,Supermarket,Type1,1212
DRD49,9.895,Low Fat,0.168,Soft Drinks,239,OUT035,2004,Small,Tier 2,Supermarket,Type1,5244
DRD49,9.895,Low Fat,0.169,Soft Drinks,237,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,4767
DRD49,9.895,Low Fat,0.168,Soft Drinks,237,OUT046,1997,Small,Tier 1,Supermarket,Type1,715
DRD49,9.895,Low Fat,0.168,Soft Drinks,238,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,3814
DRD60,9.895,Low Fat,0.065,Soft Drinks,181,OUT019,1985,Small,Tier 1,Grocery Store,Type4,182
DRD60,15.7,Low Fat,0.037,Soft Drinks,182,OUT035,2004,Small,Tier 2,Supermarket,Type1,1999
DRD60,15.7,Low Fat,0.037,Soft Drinks,183,OUT046,1997,Small,Tier 1,Supermarket,Type1,5635
DRD60,15.7,Low Fat,0.037,Soft Drinks,182,OUT013,1987,High,Tier 3,Supermarket,Type1,2545
DRD60,15.7,Low Fat,0.037,Soft Drinks,180,OUT018,2009,Medium,Tier 3,Supermarket,Type2,1818
DRD60,15.7,Low Fat,0.037,Soft Drinks,183,OUT049,1999,Medium,Tier 1,Supermarket,Type1,3454
DRE01,10.1,Low Fat,0.167,Soft Drinks,242,OUT046,1997,Small,Tier 1,Supermarket,Type1,5332
DRE01,10.1,Low Fat,0.280,Soft Drinks,242,OUT010,1998,Not Defined,Tier 3,Grocery Store,Type4,485
DRE03,19.6,Low Fat,0.024,Dairy,49,OUT046,1997,Small,Tier 1,Supermarket,Type1,236
DRE03,19.6,Low Fat,0.024,Dairy,46,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,662
DRE03,19.6,Low Fat,0.024,Dairy,49,OUT018,2009,Medium,Tier 3,Supermarket,Type2,425
DRE03,19.6,Low Fat,0.024,Dairy,46,OUT035,2004,Small,Tier 2,Supermarket,Type1,945
DRE03,19.6,Low Fat,0.041,Dairy,46,OUT010,1998,Not Defined,Tier 3,Grocery Store,Type4,47
DRE03,19.6,Low Fat,0.024,Dairy,47,OUT049,1999,Medium,Tier 1,Supermarket,Type1,1607
DRE03,19.6,Low Fat,0.024,Dairy,45,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,615
DRE12,19.6,Low Fat,0.070,Soft Drinks,113,OUT027,1985,Medium,Tier 3,Supermarket,Type3,2943
DRE12,4.59,Low Fat,0.071,Soft Drinks,112,OUT049,1999,Medium,Tier 1,Supermarket,Type1,1585
DRE12,4.59,Low Fat,0.071,Soft Drinks,115,OUT046,1997,Small,Tier 1,Supermarket,Type1,1245
DRE12,4.59,Low Fat,0.071,Soft Drinks,112,OUT035,2004,Small,Tier 2,Supermarket,Type1,792
DRE12,4.59,Low Fat,0.071,Soft Drinks,113,OUT013,1987,High,Tier 3,Supermarket,Type1,1471
DRE12,4.59,Low Fat,0.000,Soft Drinks,111,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,1245
DRE13,6.28,Low Fat,0.028,Soft Drinks,88,OUT035,2004,Small,Tier 2,Supermarket,Type1,1221
DRE13,6.28,Low Fat,0.028,Soft Drinks,86,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,872
DRE13,6.28,Low Fat,0.028,Soft Drinks,87,OUT049,1999,Medium,Tier 1,Supermarket,Type1,1396
DRE13,6.28,Low Fat,0.028,Soft Drinks,86,OUT013,1987,High,Tier 3,Supermarket,Type1,1744
DRE13,6.28,low fat,0.028,Soft Drinks,87,OUT027,1985,Medium,Tier 3,Supermarket,Type3,2529
DRE15,13.35,Low Fat,0.000,Dairy,76,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,1442
DRE15,13.35,Low Fat,0.018,Dairy,78,OUT018,2009,Medium,Tier 3,Supermarket,Type2,1518
DRE15,13.35,Low Fat,0.000,Dairy,78,OUT046,1997,Small,Tier 1,Supermarket,Type1,987
DRE15,13.35,Low Fat,0.018,Dairy,75,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,1366
DRE15,13.35,Low Fat,0.031,Dairy,75,OUT019,1985,Small,Tier 1,Grocery Store,Type4,304
DRE15,13.35,Low Fat,0.018,Dairy,74,OUT027,1985,Medium,Tier 3,Supermarket,Type3,1290
DRE25,15.35,Low Fat,0.073,Soft Drinks,92,OUT035,2004,Small,Tier 2,Supermarket,Type1,1119
DRE25,15.35,Low Fat,0.073,Soft Drinks,92,OUT049,1999,Medium,Tier 1,Supermarket,Type1,2610
DRE25,15.35,Low Fat,0.073,Soft Drinks,92,OUT046,1997,Small,Tier 1,Supermarket,Type1,1771
DRE25,15.35,Low Fat,0.074,Soft Drinks,92,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,559
DRE25,15.35,Low Fat,0.073,Soft Drinks,94,OUT027,1985,Medium,Tier 3,Supermarket,Type3,1305
DRE27,11.85,Low Fat,0.133,Dairy,96,OUT046,1997,Small,Tier 1,Supermarket,Type1,979
DRE27,11.85,Low Fat,0.133,Dairy,97,OUT013,1987,High,Tier 3,Supermarket,Type1,783
DRE27,11.85,Low Fat,0.133,Dairy,98,OUT049,1999,Medium,Tier 1,Supermarket,Type1,1077
DRE27,11.85,Low Fat,0.222,Dairy,100,OUT010,1998,Not Defined,Tier 3,Grocery Store,Type4,196
DRE27,11.85,Low Fat,0.133,Dairy,98,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,1762
DRE27,11.85,Low Fat,0.133,Dairy,97,OUT035,2004,Small,Tier 2,Supermarket,Type1,1174
DRE37,11.85,Low Fat,0.165,Soft Drinks,189,OUT019,1985,Small,Tier 1,Grocery Store,Type4,189
DRE37,13.5,Low Fat,0.094,Soft Drinks,190,OUT046,1997,Small,Tier 1,Supermarket,Type1,1324
DRE37,13.5,Low Fat,0.094,Soft Drinks,191,OUT049,1999,Medium,Tier 1,Supermarket,Type1,2836
DRE37,13.5,Low Fat,0.095,Soft Drinks,187,OUT018,2009,Medium,Tier 3,Supermarket,Type2,3214
DRE37,13.5,Low Fat,0.000,Soft Drinks,189,OUT035,2004,Small,Tier 2,Supermarket,Type1,1891
DRE48,8.43,Low Fat,0.017,Soft Drinks,196,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,1577
DRE48,8.43,Low Fat,0.017,Soft Drinks,198,OUT013,1987,High,Tier 3,Supermarket,Type1,3744
DRE48,8.43,Low Fat,0.017,Soft Drinks,197,OUT035,2004,Small,Tier 2,Supermarket,Type1,3350
DRE48,8.43,Low Fat,0.017,Soft Drinks,198,OUT046,1997,Small,Tier 1,Supermarket,Type1,1182
DRE48,8.43,Low Fat,0.017,Soft Drinks,197,OUT027,1985,Medium,Tier 3,Supermarket,Type3,8868
DRE48,8.43,Low Fat,0.000,Soft Drinks,195,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,1577
DRE48,8.43,Low Fat,0.017,Soft Drinks,196,OUT018,2009,Medium,Tier 3,Supermarket,Type2,4139
DRE49,20.75,Low Fat,0.021,Soft Drinks,153,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,2277
DRE49,20.75,Low Fat,0.021,Soft Drinks,151,OUT046,1997,Small,Tier 1,Supermarket,Type1,2581
DRE49,20.75,Low Fat,0.036,Soft Drinks,152,OUT010,1998,Not Defined,Tier 3,Grocery Store,Type4,152
DRE49,20.75,Low Fat,0.000,Soft Drinks,153,OUT035,2004,Small,Tier 2,Supermarket,Type1,2429
DRE49,20.75,Low Fat,0.021,Soft Drinks,154,OUT018,2009,Medium,Tier 3,Supermarket,Type2,1366
DRE49,20.75,Low Fat,0.021,Soft Drinks,151,OUT013,1987,High,Tier 3,Supermarket,Type1,2429
DRE49,20.75,Low Fat,0.000,Soft Drinks,154,OUT027,1985,Medium,Tier 3,Supermarket,Type3,7742
DRE49,20.75,Low Fat,0.021,Soft Drinks,154,OUT049,1999,Medium,Tier 1,Supermarket,Type1,2429
DRE49,20.75,Low Fat,0.021,Soft Drinks,152,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,2732
DRE60,20.75,low fat,0.279,Soft Drinks,225,OUT019,1985,Small,Tier 1,Grocery Store,Type4,679
DRE60,9.395,Low Fat,0.160,Soft Drinks,225,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,7697
DRE60,9.395,Low Fat,0.160,Soft Drinks,225,OUT049,1999,Medium,Tier 1,Supermarket,Type1,7018
DRE60,9.395,Low Fat,0.159,Soft Drinks,226,OUT013,1987,High,Tier 3,Supermarket,Type1,3622
DRE60,9.395,Low Fat,0.159,Soft Drinks,226,OUT035,2004,Small,Tier 2,Supermarket,Type1,3848
DRE60,9.395,Low Fat,0.160,Soft Drinks,228,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,1585
DRF01,5.655,Low Fat,0.175,Soft Drinks,147,OUT049,1999,Medium,Tier 1,Supermarket,Type1,2479
DRF01,5.655,Low Fat,0.176,Soft Drinks,144,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,1750
DRF01,5.655,Low Fat,0.175,Soft Drinks,147,OUT035,2004,Small,Tier 2,Supermarket,Type1,1896
DRF01,5.655,Low Fat,0.000,Soft Drinks,148,OUT046,1997,Small,Tier 1,Supermarket,Type1,1166
DRF01,5.655,Low Fat,0.176,Soft Drinks,147,OUT018,2009,Medium,Tier 3,Supermarket,Type2,1750
DRF01,5.655,Low Fat,0.174,Soft Drinks,147,OUT027,1985,Medium,Tier 3,Supermarket,Type3,1896
DRF01,5.655,Low Fat,0.175,Soft Drinks,145,OUT013,1987,High,Tier 3,Supermarket,Type1,1896
DRF01,5.655,Low Fat,0.307,Soft Drinks,147,OUT019,1985,Small,Tier 1,Grocery Store,Type4,292
DRF03,19.1,Low Fat,0.076,Dairy,40,OUT010,1998,Not Defined,Tier 3,Grocery Store,Type4,81
DRF03,19.1,Low Fat,0.045,Dairy,39,OUT035,2004,Small,Tier 2,Supermarket,Type1,366
DRF03,19.1,Low Fat,0.045,Dairy,40,OUT027,1985,Medium,Tier 3,Supermarket,Type3,1097
DRF03,19.1,Low Fat,0.045,Dairy,42,OUT049,1999,Medium,Tier 1,Supermarket,Type1,244
DRF03,19.1,Low Fat,0.045,Dairy,40,OUT018,2009,Medium,Tier 3,Supermarket,Type2,528
DRF03,19.1,Low Fat,0.045,Dairy,39,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,690
DRF03,19.1,Low Fat,0.045,Dairy,43,OUT046,1997,Small,Tier 1,Supermarket,Type1,650
DRF03,19.1,Low Fat,0.045,Dairy,39,OUT013,1987,High,Tier 3,Supermarket,Type1,731
DRF13,12.1,Low Fat,0.030,Soft Drinks,144,OUT049,1999,Medium,Tier 1,Supermarket,Type1,2613
DRF13,12.1,Low Fat,0.030,Soft Drinks,144,OUT018,2009,Medium,Tier 3,Supermarket,Type2,1161
DRF13,12.1,Low Fat,0.030,Soft Drinks,147,OUT046,1997,Small,Tier 1,Supermarket,Type1,1597
DRF13,12.1,Low Fat,0.030,Soft Drinks,146,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,3774
DRF13,12.1,Low Fat,0.000,Soft Drinks,145,OUT013,1987,High,Tier 3,Supermarket,Type1,3338
DRF13,12.1,Low Fat,0.030,Soft Drinks,144,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,3629
DRF15,12.1,Low Fat,0.058,Dairy,152,OUT019,1985,Small,Tier 1,Grocery Store,Type4,306
DRF15,18.35,Low Fat,0.033,Dairy,155,OUT018,2009,Medium,Tier 3,Supermarket,Type2,1991
DRF15,18.35,Low Fat,0.000,Dairy,152,OUT013,1987,High,Tier 3,Supermarket,Type1,306
